id,eventId,posOrder,x,y
1,88178642,0,50.0,48.0
2,88178642,1,47.0,50.0
3,88178643,0,47.0,50.0
4,88178643,1,41.0,48.0
5,88178644,0,41.0,48.0
6,88178644,1,32.0,35.0
7,88178645,0,32.0,35.0
8,88178645,1,89.0,6.0
9,88178646,0,89.0,6.0
10,88178646,1,85.0,0.0
11,88178663,0,11.0,94.0
12,88178663,1,15.0,100.0
13,88178648,0,85.0,0.0
14,88178648,1,93.0,16.0
15,88178667,0,7.0,84.0
16,88178667,1,9.0,71.0
17,88178649,0,91.0,29.0
18,88178649,1,0.0,0.0
19,88178674,0,100.0,100.0
20,88178674,1,15.0,100.0
21,88178677,0,13.0,31.0
22,88178677,1,45.0,6.0
23,88178679,0,45.0,6.0
24,88178679,1,80.0,7.0
25,88178684,0,80.0,7.0
26,88178684,1,90.0,15.0
27,88178652,0,10.0,85.0
28,88178652,1,61.0,93.0
29,88178690,0,39.0,7.0
30,88178690,1,46.0,28.0
31,88178653,0,54.0,72.0
32,88178653,1,56.0,72.0
33,88178692,0,46.0,28.0
34,88178692,1,44.0,28.0
35,88178693,0,44.0,28.0
36,88178693,1,45.0,32.0
37,88178694,0,45.0,32.0
38,88178694,1,29.0,48.0
39,88178695,0,29.0,48.0
40,88178695,1,26.0,86.0
41,88178700,0,26.0,86.0
42,88178700,1,23.0,85.0
43,88178655,0,77.0,15.0
44,88178655,1,57.0,0.0
45,88178702,0,47.0,100.0
46,88178702,1,66.0,84.0
47,88178657,0,34.0,16.0
48,88178657,1,39.0,17.0
49,88178703,0,61.0,83.0
50,88178703,1,58.0,88.0
51,88178704,0,58.0,88.0
52,88178704,1,64.0,92.0
53,88178659,0,36.0,8.0
54,88178659,1,64.0,57.0
55,88178705,0,36.0,43.0
56,88178705,1,11.0,40.0
57,88178706,0,11.0,40.0
58,88178706,1,28.0,74.0
59,88178707,0,28.0,74.0
60,88178707,1,49.0,43.0
61,88178708,0,49.0,43.0
62,88178708,1,77.0,10.0
63,88178710,0,77.0,10.0
64,88178710,1,67.0,17.0
65,88178660,0,23.0,90.0
66,88178660,1,33.0,83.0
67,88178661,0,33.0,83.0
68,88178661,1,32.0,71.0
69,88178711,0,67.0,17.0
70,88178711,1,68.0,29.0
71,88178662,0,32.0,71.0
72,88178662,1,13.0,87.0
73,88178664,0,13.0,87.0
74,88178664,1,11.0,95.0
75,88178714,0,89.0,5.0
76,88178714,1,84.0,0.0
77,88178666,0,28.0,100.0
78,88178666,1,34.0,92.0
79,88178668,0,34.0,92.0
80,88178668,1,35.0,100.0
81,88178719,0,74.0,0.0
82,88178719,1,92.0,34.0
83,88178670,0,8.0,66.0
84,88178670,1,26.0,69.0
85,88178671,0,26.0,69.0
86,88178671,1,29.0,71.0
87,88178722,0,71.0,29.0
88,88178722,1,100.0,100.0
89,88178673,0,0.0,0.0
90,88178673,1,57.0,86.0
91,88178676,0,57.0,86.0
92,88178676,1,56.0,100.0
93,88178728,0,43.0,14.0
94,88178728,1,44.0,0.0
95,88178730,0,44.0,0.0
96,88178730,1,68.0,10.0
97,88178731,0,68.0,10.0
98,88178731,1,56.0,10.0
99,88178680,0,32.0,90.0
100,88178680,1,44.0,90.0
