id,matchId,refereeId,role
1,2500089,385705,referee
2,2500089,385733,firstAssistant
3,2500089,385922,secondAssistant
4,2500089,388333,fourthOfficial
5,2500090,381851,referee
6,2500090,385011,firstAssistant
7,2500090,385920,secondAssistant
8,2500090,381852,fourthOfficial
9,2500091,384965,referee
10,2500091,381917,firstAssistant
11,2500091,383201,secondAssistant
12,2500091,385737,fourthOfficial
13,2500092,385704,referee
14,2500092,385919,firstAssistant
15,2500092,456216,secondAssistant
16,2500093,381853,referee
17,2500093,386732,firstAssistant
18,2500093,393151,secondAssistant
19,2500093,385915,fourthOfficial
20,2500094,384888,referee
21,2500094,384960,firstAssistant
22,2500094,385923,secondAssistant
23,2500094,379443,fourthOfficial
24,2500095,385911,referee
25,2500095,385917,firstAssistant
26,2500095,385910,secondAssistant
27,2500095,385909,fourthOfficial
28,2500096,378952,referee
29,2500096,385005,firstAssistant
30,2500096,386718,secondAssistant
31,2500096,385912,fourthOfficial
32,2500097,378951,referee
33,2500097,381877,firstAssistant
34,2500097,384978,secondAssistant
35,2500097,385718,fourthOfficial
36,2500098,408156,referee
37,2500098,381936,firstAssistant
38,2500098,386746,secondAssistant
39,2500098,385914,fourthOfficial
40,2500028,381851,referee
41,2500028,385923,firstAssistant
42,2500028,379551,secondAssistant
43,2500028,385704,fourthOfficial
44,2500024,385705,referee
45,2500024,384978,firstAssistant
46,2500024,385913,secondAssistant
47,2500024,379443,fourthOfficial
48,2500027,385915,referee
49,2500027,385920,firstAssistant
50,2500027,385918,secondAssistant
51,2500027,384888,fourthOfficial
52,2500022,408156,referee
53,2500022,381917,firstAssistant
54,2500022,385921,secondAssistant
55,2500022,378951,fourthOfficial
56,2500062,381853,referee
57,2500062,383201,firstAssistant
58,2500062,386732,secondAssistant
59,2500062,385909,fourthOfficial
60,2500026,384965,referee
61,2500026,385011,firstAssistant
62,2500026,381877,secondAssistant
63,2500026,385911,fourthOfficial
64,2500080,385911,referee
65,2500080,385910,firstAssistant
66,2500080,456216,secondAssistant
67,2500080,408156,fourthOfficial
68,2500082,378952,referee
69,2500082,385005,firstAssistant
70,2500082,386718,secondAssistant
71,2500082,378951,fourthOfficial
72,2500085,385909,referee
73,2500085,385011,firstAssistant
74,2500085,385917,secondAssistant
75,2500085,385705,fourthOfficial
76,2500083,381851,referee
77,2500083,385923,firstAssistant
78,2500083,381936,secondAssistant
79,2500083,381853,fourthOfficial
80,2500079,385704,referee
81,2500079,385733,firstAssistant
82,2500079,386732,secondAssistant
83,2500079,378952,fourthOfficial
84,2500084,385737,referee
85,2500084,385741,firstAssistant
86,2500084,393151,secondAssistant
87,2500084,379443,fourthOfficial
88,2500087,388333,referee
89,2500087,384978,firstAssistant
90,2500087,385913,secondAssistant
91,2500087,381852,fourthOfficial
92,2500088,385916,referee
93,2500088,383201,firstAssistant
94,2500088,385919,secondAssistant
95,2500088,385911,fourthOfficial
96,2500086,384888,referee
97,2500086,381917,firstAssistant
98,2500086,384890,secondAssistant
99,2500086,385915,fourthOfficial
100,2500081,378951,referee
